Episode,Reward,Epsilon
1,-10.10,0.99970
2,-11.90,0.99940
3,-10.80,0.99910
4,-10.00,0.99880
5,-10.00,0.99850
6,-10.20,0.99820
7,-10.20,0.99790
8,-10.00,0.99760
9,-10.00,0.99730
10,-10.60,0.99700
11,-10.10,0.99670
12,-10.00,0.99641
13,-10.00,0.99611
14,-13.10,0.99581
15,-10.00,0.99551
16,-10.20,0.99521
17,-10.00,0.99491
18,-10.10,0.99461
19,-10.00,0.99432
20,-10.00,0.99402
21,-10.00,0.99372
22,-10.40,0.99342
23,-10.20,0.99312
24,-10.00,0.99282
25,-11.70,0.99253
26,-10.20,0.99223
27,-10.00,0.99193
28,-10.00,0.99163
29,-10.20,0.99134
30,-12.00,0.99104
31,-10.90,0.99074
32,-10.00,0.99044
33,-12.70,0.99015
34,-6.10,0.98985
35,-10.10,0.98955
36,-10.50,0.98926
37,-14.70,0.98896
38,-10.10,0.98866
39,-10.00,0.98837
40,-10.20,0.98807
41,-10.00,0.98777
42,-10.00,0.98748
43,-10.80,0.98718
44,-12.90,0.98688
45,-10.00,0.98659
46,-10.10,0.98629
47,-17.40,0.98600
48,-11.40,0.98570
49,-25.60,0.98541
50,-11.10,0.98511
51,-11.70,0.98481
52,-10.00,0.98452
53,-16.90,0.98422
54,-10.80,0.98393
55,-10.00,0.98363
56,-10.40,0.98334
57,-10.30,0.98304
58,-13.10,0.98275
59,-10.60,0.98245
60,-14.90,0.98216
61,-17.70,0.98186
62,-10.00,0.98157
63,-11.00,0.98127
64,-10.00,0.98098
65,-10.40,0.98069
66,-10.10,0.98039
67,-13.00,0.98010
68,-10.00,0.97980
69,-10.20,0.97951
70,-11.50,0.97922
71,-10.00,0.97892
72,-10.70,0.97863
73,-10.10,0.97833
74,-14.60,0.97804
75,-11.00,0.97775
76,-10.10,0.97745
77,-10.00,0.97716
78,-10.00,0.97687
79,-10.10,0.97658
80,-10.00,0.97628
81,-10.10,0.97599
82,-11.10,0.97570
83,-10.70,0.97540
84,-10.00,0.97511
85,-11.10,0.97482
86,-10.30,0.97453
87,-20.90,0.97423
88,-10.00,0.97394
89,-10.00,0.97365
90,-10.10,0.97336
91,-10.20,0.97307
92,-10.10,0.97277
93,-10.10,0.97248
94,-16.20,0.97219
95,-10.10,0.97190
96,-10.10,0.97161
97,-10.00,0.97132
98,-10.70,0.97102
99,-10.30,0.97073
100,-10.90,0.97044
101,-10.70,0.97015
102,-11.20,0.96986
103,-10.00,0.96957
104,-10.50,0.96928
105,-10.60,0.96899
106,-10.00,0.96870
107,-10.40,0.96841
108,-10.10,0.96811
109,-10.10,0.96782
110,-20.30,0.96753
111,-10.40,0.96724
112,-10.00,0.96695
113,-10.00,0.96666
114,-10.00,0.96637
115,-10.20,0.96608
116,-14.30,0.96579
117,-10.00,0.96550
118,-10.10,0.96521
119,-10.40,0.96492
120,-11.20,0.96464
121,-10.00,0.96435
122,-10.00,0.96406
123,-10.00,0.96377
124,-14.80,0.96348
125,-12.60,0.96319
126,-10.00,0.96290
127,-10.00,0.96261
128,-10.00,0.96232
129,-11.30,0.96203
130,-10.00,0.96175
131,-14.60,0.96146
132,-18.40,0.96117
133,-13.40,0.96088
134,-11.00,0.96059
135,-10.30,0.96030
136,-10.80,0.96002
137,-10.30,0.95973
138,-10.00,0.95944
139,-13.70,0.95915
140,-10.00,0.95886
141,-10.10,0.95858
142,-10.00,0.95829
143,-11.30,0.95800
144,-10.10,0.95771
145,-12.70,0.95743
146,-10.30,0.95714
147,-10.20,0.95685
148,-10.00,0.95656
149,-30.50,0.95628
150,-10.40,0.95599
151,-14.10,0.95570
152,-1.20,0.95542
153,-10.00,0.95513
154,-11.90,0.95484
155,-10.30,0.95456
156,-3.00,0.95427
157,-11.20,0.95399
158,-10.40,0.95370
159,-10.00,0.95341
160,-12.70,0.95313
161,-12.40,0.95284
162,-13.20,0.95256
163,-12.20,0.95227
164,-10.00,0.95198
165,-10.30,0.95170
166,-10.00,0.95141
167,-10.00,0.95113
168,-3.40,0.95084
169,-10.80,0.95056
170,-18.40,0.95027
171,-13.90,0.94999
172,-10.40,0.94970
173,-10.00,0.94942
174,-12.40,0.94913
175,-10.50,0.94885
176,-10.00,0.94856
177,-10.40,0.94828
178,-10.10,0.94799
179,-11.30,0.94771
180,-11.10,0.94742
181,-11.10,0.94714
182,-15.70,0.94686
183,-10.10,0.94657
184,-10.20,0.94629
185,-11.30,0.94600
186,-10.00,0.94572
187,-10.60,0.94544
188,-10.50,0.94515
189,-10.00,0.94487
190,-10.70,0.94459
191,-10.10,0.94430
192,-10.10,0.94402
193,-10.00,0.94374
194,-10.70,0.94345
195,-10.00,0.94317
196,-11.00,0.94289
197,-10.00,0.94260
198,-14.30,0.94232
199,-11.90,0.94204
200,-11.50,0.94176
201,-12.40,0.94147
202,-10.50,0.94119
203,-13.80,0.94091
204,-10.10,0.94063
205,-12.60,0.94034
206,-10.70,0.94006
207,-10.30,0.93978
208,-10.20,0.93950
209,-10.50,0.93922
210,-11.20,0.93893
211,-10.00,0.93865
212,-10.60,0.93837
213,-11.40,0.93809
214,-10.50,0.93781
215,-10.00,0.93753
216,-10.00,0.93725
217,-11.40,0.93696
218,-10.00,0.93668
219,-10.00,0.93640
220,-10.00,0.93612
221,-10.00,0.93584
222,-10.00,0.93556
223,-11.20,0.93528
224,-10.80,0.93500
225,-10.10,0.93472
226,-14.30,0.93444
227,-10.20,0.93416
228,-15.90,0.93388
229,-10.00,0.93360
230,-10.10,0.93332
231,-24.90,0.93304
232,-10.10,0.93276
233,-20.40,0.93248
234,-10.00,0.93220
235,-19.60,0.93192
236,-10.30,0.93164
237,-10.40,0.93136
238,-12.60,0.93108
239,-11.90,0.93080
240,-10.70,0.93052
241,-10.10,0.93024
242,-11.00,0.92996
243,-10.10,0.92968
244,-10.00,0.92940
245,-18.60,0.92913
246,-10.00,0.92885
247,-10.00,0.92857
248,-10.60,0.92829
249,-10.00,0.92801
250,-12.30,0.92773
251,-10.00,0.92745
252,-10.00,0.92718
253,-10.60,0.92690
254,-10.00,0.92662
255,-11.20,0.92634
256,-10.00,0.92606
257,-10.00,0.92579
258,-10.00,0.92551
259,-18.80,0.92523
260,-11.40,0.92495
261,-12.00,0.92468
262,-10.60,0.92440
263,-10.00,0.92412
264,-10.20,0.92384
265,-10.10,0.92357
266,-10.10,0.92329
267,-10.00,0.92301
268,-12.10,0.92274
269,-11.60,0.92246
270,-10.00,0.92218
271,-10.20,0.92191
272,-10.90,0.92163
273,-10.20,0.92135
274,-11.90,0.92108
275,-10.20,0.92080
276,-10.60,0.92052
277,-11.10,0.92025
278,-31.50,0.91997
279,-10.80,0.91970
280,-10.90,0.91942
281,-17.80,0.91914
282,-10.00,0.91887
283,-10.20,0.91859
284,-10.20,0.91832
285,-10.60,0.91804
286,-10.10,0.91777
287,-10.00,0.91749
288,-10.00,0.91722
289,-12.90,0.91694
290,-10.50,0.91667
291,-11.80,0.91639
292,-11.00,0.91612
293,-11.10,0.91584
294,-10.00,0.91557
295,-10.10,0.91529
296,-10.30,0.91502
297,-10.60,0.91474
298,-10.90,0.91447
299,-10.00,0.91419
300,-10.00,0.91392
301,-10.00,0.91364
302,-10.90,0.91337
303,-10.60,0.91310
304,-10.10,0.91282
305,-12.00,0.91255
306,-10.10,0.91228
307,-8.50,0.91200
308,-10.00,0.91173
309,-14.80,0.91145
310,-11.70,0.91118
311,-10.10,0.91091
312,-13.20,0.91063
313,-10.00,0.91036
314,-10.30,0.91009
315,-10.20,0.90981
316,-10.30,0.90954
317,-1.50,0.90927
318,-17.40,0.90900
319,-10.20,0.90872
320,-10.80,0.90845
321,-10.00,0.90818
322,-11.00,0.90791
323,-10.00,0.90763
324,-10.50,0.90736
325,-16.40,0.90709
326,-10.70,0.90682
327,-5.10,0.90654
328,-14.20,0.90627
329,-10.10,0.90600
330,-11.40,0.90573
331,-10.80,0.90546
332,-10.80,0.90519
333,-10.00,0.90491
334,-10.70,0.90464
335,-10.00,0.90437
336,-10.00,0.90410
337,-10.40,0.90383
338,-1.40,0.90356
339,-10.40,0.90329
340,-7.00,0.90302
341,-18.50,0.90274
342,-0.50,0.90247
343,-10.90,0.90220
344,-11.00,0.90193
345,-15.10,0.90166
346,-10.10,0.90139
347,-11.20,0.90112
348,-10.90,0.90085
349,-20.40,0.90058
350,-14.80,0.90031
351,-15.10,0.90004
352,-10.50,0.89977
353,-10.20,0.89950
354,-14.30,0.89923
355,-10.10,0.89896
356,-11.30,0.89869
357,-10.40,0.89842
358,-10.30,0.89815
359,-10.30,0.89788
360,-10.30,0.89761
361,-10.00,0.89734
362,-0.90,0.89707
363,-11.30,0.89681
364,-10.10,0.89654
365,-10.00,0.89627
366,-10.00,0.89600
367,-10.10,0.89573
368,-10.40,0.89546
369,3.50,0.89519
370,-15.40,0.89492
371,-10.00,0.89466
372,-10.20,0.89439
373,-10.70,0.89412
374,-10.30,0.89385
375,-10.10,0.89358
376,-10.40,0.89331
377,-10.40,0.89305
378,-14.40,0.89278
379,-10.30,0.89251
380,-13.20,0.89224
381,-10.00,0.89198
382,-10.10,0.89171
383,-18.10,0.89144
384,-10.10,0.89117
385,-10.90,0.89091
386,-10.00,0.89064
387,-11.70,0.89037
388,-8.40,0.89010
